Time,CppFile,LogType,SourceType,SourceID,Team,Weapon,Damage,DestinationType,DestinationID,X,Y
0.035252,LevelState.c,L_string,Level Start,,,,,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyStation,26358,L_TeamEnemy,975.554,-4808.01,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyStation,26362,L_TeamEnemy,-3242.59,3517.55,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyStation,26365,L_TeamEnemy,-1354.83,-5164.4,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyStation,26367,L_TeamEnemy,-796.389,-4304.91,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyStation,26369,L_TeamEnemy,5890.48,400.453,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyStation,26372,L_TeamEnemy,-1839.33,1356.5,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyStation,26374,L_TeamEnemy,-3951.15,-1073.07,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyStation,26377,L_TeamEnemy,-1390.63,-2805.44,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyStation,26379,L_TeamEnemy,1467.14,-3853.96,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyStation,26382,L_TeamEnemy,2515.36,5466.71,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26385,L_TeamEnemy,-2034.35,-1670.96,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26386,L_TeamEnemy,-2256.23,-1938.2,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26387,L_TeamEnemy,-2147.15,-1761.12,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26388,L_TeamEnemy,-2314.24,-2027.74,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26389,L_TeamEnemy,-2010.93,-1848,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26390,L_TeamEnemy,-2175.09,-1931.04,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26391,L_TeamEnemy,-1953.96,-2033.08,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26392,L_TeamEnemy,-2265.72,-1768.6,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26393,L_TeamEnemy,-2138.38,-2025.05,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26394,L_TeamEnemy,-2021.63,-1760.58,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26395,L_TeamEnemy,-1977.8,-1946.84,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26396,L_TeamEnemy,-2246.72,-1688.69,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26397,L_TeamEnemy,2468.62,5522.81,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26399,L_TeamEnemy,2330.34,5361.07,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26401,L_TeamEnemy,2591.79,5355.96,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26403,L_TeamEnemy,2613.06,5436.7,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26405,L_TeamEnemy,2358.02,5560.67,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26407,L_TeamEnemy,2500.67,5448.43,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26409,L_TeamEnemy,2445.36,5293.01,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26411,L_TeamEnemy,2488.33,5356.49,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26413,L_TeamEnemy,2689.49,5500.07,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26415,L_TeamEnemy,2432,5291.53,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26417,L_TeamEnemy,2548.17,5272.92,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26419,L_TeamEnemy,2408.23,5557.09,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26421,L_TeamEnemy,2442.18,5595,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26423,L_TeamEnemy,2649.38,5644.42,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26425,L_TeamEnemy,2551.76,5592.74,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26427,L_TeamEnemy,2615.59,5272.58,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26429,L_TeamEnemy,2704.91,5643.15,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyCapitalShip,26431,L_TeamEnemy,2325.48,5579.69,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26437,L_TeamEnemy,2369.45,5634.2,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26439,L_TeamEnemy,2321.13,5373.79,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26441,L_TeamEnemy,2705.48,5559.39,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26443,L_TeamEnemy,2340.85,5451.69,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26445,L_TeamEnemy,2398.06,5306.34,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26447,L_TeamEnemy,2364.17,5464.75,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26449,L_TeamEnemy,2421.89,5622.13,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26451,L_TeamEnemy,2629.42,5497.98,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26453,L_TeamEnemy,2440.63,5454.72,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemyBerserker,26455,L_TeamEnemy,2552.2,5286.15,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26457,L_TeamEnemy,1607.53,3513.54,,,,
0.035252,LevelGenNormal.c,L_spawn,EnemySuicide,26458,L_TeamEnemy,1515.22,3773.09,,,,
